first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
ör.iiorbert;Elias;80  (Hl);-;-;-;22.7.77;-;MBNR.8.PER.63
Jwius;Elkan;(Goethes  Bankier)(E6G);-;-;-;31.1.75;-;MBNR.8.PER.64
iliermann;Ellern;85;-;-;-;4.11.77;-;MBNR.8.PER.65
Amos;Elon;bialog  n.öana  Hassan(Kanowitz);-;-;-;26.53.75;-;MBNR.8.PER.66
ör.Imaz;Enrich;ör  Imaz;-;-;-;-;-;MBNR.8.PER.67
i®tre;Enfantin;Prosper  (Gradenwitz);-;-;-;24.9.76;-;MBNR.8.PER.68
ludwig;Erhard;iiachmf;-;-;-;13.5.77;-;MBNR.8.PER.69
Rainer;Fassbillpr;W.  ib.Juden  (Lilienfeld);-;-;-;2.4.76;-;MBNR.8.PER.70
Dietr.;Fischer-Diskau;50  (Grademwitz);-;-;-;20.6.75;-;MBNR.8.PER.71
Jeshaja;Foerder;llerbert  in  memoriam;-;-;-;23.5.75;-;MBNR.8.PER.72
bavid;Frankfurter;(verfilmt);-;-;-;7.2.75;-;MBNR.8.PER.73
Recha;Freier;Ehrendoktor  Jerusalem  (ifP);-;-;-;25.7.75;-;MBNR.8.PER.74
;Freund;Ismar  loo,.Geburtstag;-;-;-;14.4.76;-;MBNR.8.PER.75
Richard;Friedenthal;80  (EG);-;-;-;2.7.76;-;MBNR.8.PER.76
Günther;Friedlänier;;Dr.;Nachruf;-;15.86.75;-;MBNR.8.PER.77
kax;Frisch;Rede  über  Frieden;-;-;-;19.11.76;-;MBNR.8.PER.78
lax;Fürst;"Rez.""schwierige  20er  Jahre""(Lichtenstein)";-;-;-;18.2.77;-;MBNR.8.PER.79
Caston;Gallimard;üachruf;-;-;-;20.2.76;-;MBNR.8.PER.80
Irene;Gaster;80;-;-;-;1.7.77;-;MBNR.8.PER.81
uanfred;Geis;liest  Heine;-;-;-;20.2.76;-;MBNR.8.PER.82
Nachun;Goldnann;80  (HT);Dr.;-;-;11.7.75;-;MBNR.8.PER.83
;Goldstein;dr.  «oritz  95  (ER.)  11.475;-;-;-;-;-;MBNR.8.PER.84
Claire;Goll;ilachmuf  (HT);-;-;-;19.8.77;-;MBNR.8.PER.85
Frof.ilelmaut;Gollwitzer;Rede  iib.Israel;-;-;-;16.7.76;-;MBNR.8.PER.86
Jch.wolfg.v.;Goethe;Autograph  in  Jerusalem  (EG);-;-;-;31.1.75;-;MBNR.8.PER.87
lieinrich;Graetz;Rez.  Tagebuch  LBI(Tobias);-;-;-;9.12.77;-;MBNR.8.PER.88
;Gronemann;Sammy  loo.Geburtstag(Geis);-;-;-;28.2.75;-;MBNR.8.PER.89
Propst;Grüber;Heinrich  Nachrufnotiz;-;-;-;12.12.75;-;MBNR.8.PER.90
Heinz;Gruenbaunm;(ABergmamn);Dr.;Nachruf;-;4.7.75;-;MBNR.8.PER.91
iiax;Gruenewald;Dr  iiax;Dr.;-;-;-;-;MBNR.8.PER.92
lleinz;Criinspan;lachmuf;-;-;-;5.9.75;-;MBNR.8.PER.93
Hugo;Haase;Rez.Biogr.Calkins(Lesheu);-;-;-;15.4.77;-;MBNR.8.PER.94
Zvi;laftel;H.  Wachruf;-;-;-;31.10.75;-;MBNR.8.PER.95
Kurt;Hahn;Wodesnachricht;-;-;-;3.1.75;-;MBNR.8.PER.96
Eınest;Hauburger;85  (HT);Dr.;-;-;2.1.76;-;MBNR.8.PER.97
;Harden;:aximilian  50.Todestag  (EG);-;-;-;28.10.77;-;MBNR.8.PER.98
Isser;Harel;"Rez.""taus  in  Garibaldistr.""(Tobias)";-;-;-;5.9.75;-;MBNR.8.PER.99
Hieinrich;Heine;Lige  als  iotiv  bei  U.  (Kraft);-;-;-;26.4.75;-;MBNR.8.PER.100
