first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
Frof.;Kleeberg;Frof  ;-;-;-;-;-;MBNR.11.PER.58
Arthur;Koestler;;-;-;-;-;-;MBNR.11.PER.59
llelmut;Kohl;(Bundeskanzler)  Besuch  in  Israel(Lilienfeld  )20.1.84;-;-;-;-;-;MBNR.11.PER.60
;Kohn;Rulolf  90;-;-;-;-;-;MBNR.11.PER.61
Fritz;Kost;E.  80  (Capell);-;-;-;15.6.84;-;MBNR.11.PER.62
;Kroener;,Ruiyard;-;-;-;-;-;MBNR.11.PER.63
Shlomo;Krolik;Dr  Shlomo;Dr.;-;-;-;-;MBNR.11.PER.64
Frof.JUrgen;Ruozynski;Frof  JUrgen;-;-;-;-;-;MBNR.11.PER.65
Herman;Kuprian;"""Ahasver""  Rez,Faerber";-;-;-;16.11.84;-;MBNR.11.PER.66
Dt.Julen;Kwiet/Eschwege;im  Widerstand.Rez.lilienfeld;-;-;-;29.9.84;-;MBNR.11.PER.67
Georg;Landauer;Dr  Georg;Dr.;-;-;-;-;MBNR.11.PER.68
Else;Lasker-Schlller;40,Todestag(Tolkes);-;-;-;1.2.85;-;MBNR.11.PER.69
Siegfried;Lehmann;Dr  Siegfried;Dr.;-;-;-;-;MBNR.11.PER.70
Moses-Gedenkrede;S;9,Friedländer;-;-;-;3.2.84;-;MBNR.11.PER.71
;Lessing;Prof.  Theodor  50,Todestag(Lowenthal);-;-;-;26.8.83;-;MBNR.11.PER.72
John;Levy;90;Dr.;-;-;-;-;MBNR.11.PER.73
Fanny;levald;(Fazi)  21,1.83;-;-;-;-;-;MBNR.11.PER.74
Richard;Lichtheim;10o.Geburtstag(E.Rothschild);Dr.;-;-;8.2.85;-;MBNR.11.PER.75
;läebemmann;Frof,Nax  (Nachruf  Landaberger  J.R.  1935);-;-;-;25.1.85;-;MBNR.11.PER.76
Faul;littauer;Nachruf(Gradenwitz)  20,5,.83;-;-;-;-;-;MBNR.11.PER.77
