first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
Paul;Diamant;schloschim  Klausner);-;-;-;10.5.66;-;MBNR.4.PER.69
lfarlene;Dietrich;4,3.66(Geis);-;-;-;-;-;MBNR.4.PER.70
Grote;Dressler;Gedenkwald;-;-;-;26.1.68;-;MBNR.4.PER.71
ludwig;Dressler;28,7.67;-;Nachruf;-;-;-;MBNR.4.PER.72
Nosa;Dukas;Perman);-;Nachruf;-;27.1.67;-;MBNR.4.PER.73
fiayer;Fbner;10.rodestag  mies  !5eb  [6  len)  8;-;-;-;7.1.66;-;MBNR.4.PER.74
;Ehrenburg;Ilja  Nachmf  15.9,67  —;-;-;-;-;-;MBNR.4.PER.75
Albert;Ehrenstein;;-;-;-;30.12.66;-;MBNR.4.PER.76
Ismar;Elbogen;Neuausgaben  Hr);-;-;-;1.9.67;-;MBNR.4.PER.77
Bessi;Ellern;24,4,67;-;Todesanzeige;-;-;-;MBNR.4.PER.78
Carl;Ellern;15,7,66;-;Nachruf;-;-;-;MBNR.4.PER.79
Selma;Emrich;Todesangeige  30,.12,66;-;-;-;-;-;MBNR.4.PER.80
Kithe;Ephrain-Narkus;1,9,67;-;-;-;-;-;MBNR.4.PER.81
ludwig;Erhard;in  Israel;-;-;-;27.10.67;-;MBNR.4.PER.82
Fritz;Erler;3,3,67(HT);-;Nachruf;-;-;-;MBNR.4.PER.83
;Eschenburg;Theodor  in  Israel  17.11,67;-;-;-;-;-;MBNR.4.PER.84
Shaul;Esh;12,4,68(Simon);-;Nachruf;-;-;-;MBNR.4.PER.85
Karl;Bttlinger;3,10,66(P.Rosen);-;Nachruf;-;-;-;MBNR.4.PER.86
Schlomo;Ettlinger;15,4,66;-;Nachruf;-;-;-;MBNR.4.PER.87
Sigbert;Feuchtwanger;10.Todentag  15,4,66(HT);-;-;-;-;-;MBNR.4.PER.88
Ludwie;Ficker;v,  14.4,.67;-;Nachruf;-;-;-;MBNR.4.PER.89
Samel;Fischer;2,2,68;-;-;-;-;-;MBNR.4.PER.90
Friedr.Wilh.;Förster;Friedr.Wilh  ;-;-;-;-;-;MBNR.4.PER.91
Anna;Frank;Gedenkplastik  29.4,66;-;-;-;-;-;MBNR.4.PER.92
Mosche;Frank;Henachen  Nachruf‘  22,7,66;-;-;-;-;-;MBNR.4.PER.93
Abrahan;Fraenkel;Haleri  Autoblogr,.2€  1.68;-;-;-;-;-;MBNR.4.PER.94
Noomt;Fränkel;"""Saul  u.Johanna  III""";-;-;-;3.6.67;-;MBNR.4.PER.95
Recha;Freier;Testimonium;-;-;-;19.3.68;-;MBNR.4.PER.96
Sigmund;Freud;a.d,Btihne  25,3,66;-;-;-;-;-;MBNR.4.PER.97
Wilson;ib;;-;-;-;7.6.68;-;MBNR.4.PER.98
;Freudenthal;Jacob  Erinmerting  18,8,67;-;-;-;-;-;MBNR.4.PER.99
Peter;Fround;Cottgetreu);-;-;-;7.1.66;-;MBNR.4.PER.100
;Freund;Julius;-;-;-;13.10.67;-;MBNR.4.PER.101
Erich;Freyer;80  5,8,66;-;-;-;-;-;MBNR.4.PER.102
Max;Friedländer;J,  Erinnerungen;-;-;-;4.8.67;-;MBNR.4.PER.103
Max;Frisch;"""Rlografie""  16,2,68";-;-;-;-;-;MBNR.4.PER.104
Varlan;Fry;Gottgetreu);-;Nachruf;-;16.2.68;-;MBNR.4.PER.105
Richard;Fuchs;80;-;-;-;17.6.66;-;MBNR.4.PER.106
J.W.;Fullbright;J.W  ;-;-;-;-;-;MBNR.4.PER.107
Sdur;Gans;rd,  1,.4,66(HT);-;-;-;-;-;MBNR.4.PER.108
Nathen;Gelber;Kichnel  Klausner);-;Nachruf;-;21.10.66;-;MBNR.4.PER.109
Kanfred;Gecrge;Nachruf(gest.131.12,65)14.1.66(Gottgetreu);-;-;-;-;-;MBNR.4.PER.110
riedrich;Gernshein;Nachla  eslitergabe  13,1,67;-;-;-;-;-;MBNR.4.PER.111
Richard;Ginsberg;I.chmann);-;Nachruf;-;10.2.67;-;MBNR.4.PER.112
HHugo;Gold;Wiener  Preis  5,5,67;-;-;-;-;-;MBNR.4.PER.113
Victor;Gollanez;3,3,.67(RW);-;Nachruf;-;-;-;MBNR.4.PER.114
J.W.v.;Goethe;Krart);-;-;-;24.4.67;-;MBNR.4.PER.115
Günter;Grass;Dichtg  als  polit.Aufgabe  HT);-;-;-;17.3.67;-;MBNR.4.PER.116
Heinrich;Graetz;150.Geburtstag;-;-;-;20.10.67;-;MBNR.4.PER.117
Pmıl;Grastz;Todesnachricht  25.3,.66;-;-;-;-;-;MBNR.4.PER.118
Rurt;Grossmann;70  Gottgetreu);-;-;-;19.5.657;-;MBNR.4.PER.119
Schragn;Griibel;22,4.66;-;Nachruf;-;-;-;MBNR.4.PER.120
;Gruschka;Theodor  7.7467;-;Nachruf;-;-;-;MBNR.4.PER.121
Ernst;Haas;22,7.66;-;Nachruf;-;-;-;MBNR.4.PER.122
Hugn;Hahn;HT);-;Nachruf;-;1.12.67;-;MBNR.4.PER.123
Kurt;Hahn;80;-;-;-;17.6.66;-;MBNR.4.PER.124
Kurt;Narmmerstain;Nachruf(zest.31.1.67);-;-;-;18.8.67;-;MBNR.4.PER.125
liddel;Rart;Frinnsrungen;-;-;-;25.3.66;-;MBNR.4.PER.126
G.W.F.;KRegel;u.dJuden  21,6,63;-;-;-;-;-;MBNR.4.PER.127
Edgar;Heilbronner;;-;Nachruf;-;3.3.67;-;MBNR.4.PER.128
Heinrich;Heine;Jahrbuch  13,.5.66(Raphael);-;-;-;-;-;MBNR.4.PER.129
Alex.I.;Helphand;Alex  I.;-;-;-;-;-;MBNR.4.PER.130
Georg;Herlitz;19,1,68(5.Moses);-;Nachruf;-;-;-;MBNR.4.PER.131
H.Chanın;Herrberz;H  Chanın;-;-;-;-;-;MBNR.4.PER.132
Theedor;Nerzl;Nobel,Snttner  u,H,;-;-;-;9.12.66;-;MBNR.4.PER.133
Uriel;Heyd;Plesaner);-;Nachruf;-;31.5.68;-;MBNR.4.PER.134
Farilel;Hildesheimer;4A,3,66(FRosenbliith);-;-;-;-;-;MBNR.4.PER.135
;Hildesheimer;Wnlfgang  R'ichnerpreis;-;-;-;14.10.66;-;MBNR.4.PER.136
Raron;Hrsch;M.  B.7.66(KL);-;-;-;-;-;MBNR.4.PER.137
Otto;Hirsch;25,Todentag;-;-;-;3.6.66;-;MBNR.4.PER.138
Rolf;Hochhuth;"""Soldaten""  10.131,67";-;-;-;-;-;MBNR.4.PER.139
;Nochwälder;Fritz  Bsterr,Treis;-;-;-;13.1.67;-;MBNR.4.PER.140
Wi1l1;Hoffer;(RW);-;Nachruf;-;17.11.67;-;MBNR.4.PER.141
Cerhard;Holdhein;FM);-;Nachruf;-;20.1.67;-;MBNR.4.PER.142
Friedrich;Holländer;70;-;-;-;19.5.67;-;MBNR.4.PER.143
Ahraham;Horodisch;70;-;-;-;16.2.68;-;MBNR.4.PER.144
Yalter;Hibinger;üaterr.Orden  24,3.67;-;-;-;-;-;MBNR.4.PER.145
Angelika;Hurwitz;;-;-;-;22.12.67;-;MBNR.4.PER.146
Karl;Igel;%,10,56;-;Nachruf;-;-;-;MBNR.4.PER.147
!co;Isaak;90;-;-;-;4.3.66;-;MBNR.4.PER.148
Wilfrid;Israol;25,Todestag  31.5,58;-;-;-;-;-;MBNR.4.PER.149
Aron;Issarlin;BC);-;Nachruf;-;14.1.66;-;MBNR.4.PER.150
keinrich;Jecob;Eduerd  Todesnachricht  16,11,67;-;-;-;-;-;MBNR.4.PER.151
Alice;Jacob-Locwenson;;-;Nachruf;-;27.10.67;-;MBNR.4.PER.152
Georg;Jagobowitz;26,5.67;-;Nachruf;-;-;-;MBNR.4.PER.153
Max;Jacobschn;Erinzeruggen  EI;-;-;-;3.10.66;-;MBNR.4.PER.154
Jacob;Jacobson;HR);-;Nachruf;-;14.6.68;-;MBNR.4.PER.155
Gwnar;Jarring;;-;-;-;25.3.68;-;MBNR.4.PER.156
Charles;Jcrdan;25,.8.67(KT);-;Nachruf;-;-;-;MBNR.4.PER.157
Max;Joseph;1loo,.Geburtstag;-;-;-;24.5.68;-;MBNR.4.PER.158
iielanie;Joserh;;-;Todesanzeige;-;17.5.68;-;MBNR.4.PER.159
Giora;Josephtal;Kälturzentrun  HT);-;-;-;4.3.66;-;MBNR.4.PER.160
Franz;Kafka;Ausstellg  in  Berlin;-;-;-;11.2.65;-;MBNR.4.PER.161
Presse;russ;;-;-;-;29.53.68;-;MBNR.4.PER.162
Fritz;Kahn;Tudesnachricht;-;-;-;2.2.68;-;MBNR.4.PER.163
Conrad;Kalser;20,.Todsstag  5  Moses);-;-;-;26.8.66;-;MBNR.4.PER.164
Frunz;Kaelter;Lavid  60  24,8.65;-;-;-;-;-;MBNR.4.PER.165
Siegfs..;Kanowitz;Siegfs  .;-;-;-;-;-;MBNR.4.PER.166
C.I.;Kepralik;C  I.;-;-;-;-;-;MBNR.4.PER.167
liınnah;Karuinski;Gedenken;-;-;-;24.4.67;-;MBNR.4.PER.168
Erich;Köstner;K.f.Erwachsens*;-;-;-;24.2.67;-;MBNR.4.PER.169
öissi;Katz;Nachwuf  21,7.67;-;-;-;-;-;MBNR.4.PER.170
Emst;Katzeustein;70  (HT);-;-;-;9.2.68;-;MBNR.4.PER.171
Richarl;Kauffuann;10,Tolsstag;-;-;-;2.2.68;-;MBNR.4.PER.172
;kelluer;Viktor  80  Berguan);-;-;-;24.11.67;-;MBNR.4.PER.173
Hans;Kelsen;85;-;-;-;21.10.66;-;MBNR.4.PER.174
Alfreiä;Kers;luo,Geburtutag  22,12,67;-;-;-;-;-;MBNR.4.PER.175
ieo;Kostenberg;Stipenilen  -6.5.66;-;-;-;-;-;MBNR.4.PER.176
Bruno;Kisch;Eriunerungen;-;-;-;11.8.67;-;MBNR.4.PER.177
Elisabeth;Kitzinger;üachmuf;-;-;-;22.7.66;-;MBNR.4.PER.178
lsldor;Klaber;75  7.4,67(Krasuer);-;-;-;-;-;MBNR.4.PER.179
l’aul;Klee;Ausstellg;-;-;-;25.2.66;-;MBNR.4.PER.180
Otto;Kleuperar;in  Jerusalen;-;-;-;2.6.67;-;MBNR.4.PER.181
Alfred;Klopstock;Prof  Alfred;Prof.;-;-;-;-;MBNR.4.PER.182
Harry;Knopf;80  HT,Tuchler);-;-;-;13.1.67;-;MBNR.4.PER.183
Hans;Koch;;-;Nachruf;-;15.9.67;-;MBNR.4.PER.184
Hans;Hohn;75  KL);-;-;-;9.9.66;-;MBNR.4.PER.185
!alter;Kohner;80  3,10.656;-;-;-;-;-;MBNR.4.PER.186
Annette;Kolb;24,3,67;-;-;-;-;-;MBNR.4.PER.187
Gertrud;Kolmar;Robespierre  10,6.66;-;-;-;-;-;MBNR.4.PER.188
Köthe;Kollwitz;loo,teburtster  8,12,67;-;-;-;-;-;MBNR.4.PER.189
;Kortner;Fritz  75  2,6,67;-;-;-;-;-;MBNR.4.PER.190
Arthur;Koestler;din.Preis  26,.1.68;-;-;-;-;-;MBNR.4.PER.191
ierner;Kraft;70  6.5,66(Simon);-;-;-;-;-;MBNR.4.PER.192
Zwi;Kraener;österr.Orden  13.167;-;-;-;-;-;MBNR.4.PER.193
Karl;Kraus;30.Todestag  10,6,66(Fraft);-;-;-;-;-;MBNR.4.PER.194
lax;Krell;Autobingr,  15,7,66(Berendschn);-;-;-;-;-;MBNR.4.PER.195
/ilhelm;Rrell;65  25,8.67(Kraemer);-;-;-;-;-;MBNR.4.PER.196
leon;Kubovy;“achruf  3,6,56;-;-;-;-;-;MBNR.4.PER.197
Mosche;Kurz-Avior;Kachruf  10.3,67;-;-;-;-;-;MBNR.4.PER.198
otto;Kiister;\b.Wledermitmachung  21.6,68(AT);-;-;-;-;-;MBNR.4.PER.199
Abr.Alfred;Landsberg;Gedenken  24,4,67;-;-;-;-;-;MBNR.4.PER.200
Eloe;Lasker-Schiller;an  Grabstein  20.10,67(Cottgetreu);-;-;-;-;-;MBNR.4.PER.201
T.E.;Lerrence;T.E  ;-;-;-;-;-;MBNR.4.PER.202
;Lazarus;Max  Erinnerungen  16,2,68;-;-;-;-;-;MBNR.4.PER.203
Otto;Lehrs;20,.Todentae  22,12,67;-;-;-;-;-;MBNR.4.PER.204
;Lessing;@,FE.  12,4.69(Simen);-;-;-;-;-;MBNR.4.PER.205
;Lestschinsky;Jakob  22,4,66(  Aller-R);-;Nachruf;-;-;-;MBNR.4.PER.206
Jitzchak;Lerwy;Kurt  70;-;-;-;4.8.67;-;MBNR.4.PER.207
Heinz;Liepman;YNachmif  Gottzetreu);-;-;-;8.7.66;-;MBNR.4.PER.208
Erich;Liermann;80  8,7,66  !;-;-;-;-;-;MBNR.4.PER.209
David;Lilienthal;E,  Tarebilcher;-;-;-;23.9.66;-;MBNR.4.PER.210
lasır;Lisaltsky;I.(Kaler);-;-;-;25.11.66;-;MBNR.4.PER.211
Rudolf;Loob;15,7.66(  Kreutzberger);-;Nachruf;-;-;-;MBNR.4.PER.212
Taul;Löbe;11,8,67;-;Nachruf;-;-;-;MBNR.4.PER.213
Berl;Lecker;E80  5,5,67;-;-;-;-;-;MBNR.4.PER.214
Hanna;Locker;Ani*a  11,11,66;-;Nachruf;-;-;-;MBNR.4.PER.215
Hans;Leevenson‘Levi);Nechrof  11.2,66(Gottgetrou);-;-;-;-;-;MBNR.4.PER.216
Walter;lorvenson;Nachmıf;-;-;-;30.12.66;-;MBNR.4.PER.217
Frof.Karl;Lörlth;Frof  Karl;-;-;-;-;-;MBNR.4.PER.218
Jcseph;Loesy;Gedenkheft  23,.12,66;-;-;-;-;-;MBNR.4.PER.219
ranl;loews;75  Luft);-;-;-;20.10.66;-;MBNR.4.PER.220
Georg;Iucacz;19,5,67;-;-;-;-;-;MBNR.4.PER.221
Erich;LÜth;Autoblogr,  26,8,66(17);-;-;-;-;-;MBNR.4.PER.222
Ernst;Lyon;9,2,6;-;Nachruf;-;-;-;MBNR.4.PER.223
Herwann;Maas;90  4.,8,67(HT);-;-;-;-;-;MBNR.4.PER.224
Gustav;Hahler;Husik;-;-;-;4.10.67;-;MBNR.4.PER.225
Noraan;Hailer;American  bDrean  22,4,60;-;-;-;-;-;MBNR.4.PER.226
Salomon;Maimon;(Beriman);-;-;-;1.4.66;-;MBNR.4.PER.227
66;Bibliogr.19.8;;-;-;-;-;-;MBNR.4.PER.228
;Mann;Thomas  Berendschn);-;-;-;7.1.66;-;MBNR.4.PER.229
Groucho;Narx;Briefe  19,5.67;-;-;-;-;-;MBNR.4.PER.230
Hugo;Marx;Erinnerungen  4.2,66/25.2.68;-;-;-;-;-;MBNR.4.PER.231
Karl;Karx;in  Trier  6,5.66(EGL);-;-;-;-;-;MBNR.4.PER.232
Sartre;u;6,.1,.67(Baer);-;-;-;-;-;MBNR.4.PER.233
Karl(ted.in;Marz;Düsseläf)  äachruf  23,.12.66(MT);-;-;-;-;-;MBNR.4.PER.234
John;Masefield;;-;-;-;2.6.67;-;MBNR.4.PER.235
Somerset;Haughan;;-;Nachruf;-;7.1.66;-;MBNR.4.PER.236
Zenta;Maurins;70  15.12,67;-;-;-;-;-;MBNR.4.PER.237
Andrd;Haurois;;-;-;-;20.10.67;-;MBNR.4.PER.238
Kurt;May;70  12,8.66(HT);-;-;-;-;-;MBNR.4.PER.239
Emna;Nayer;90  18,11,66;-;-;-;-;-;MBNR.4.PER.240
Eugen;Mayer;12,1,68(Esh);-;Nachruf;-;-;-;MBNR.4.PER.241
Hax;Mayer;80  22,7.66(tü);-;-;-;-;-;MBNR.4.PER.242
Richard;Mayer;90;-;-;-;18.11.66;-;MBNR.4.PER.243
Lili;Medhat;Lyrik;-;-;-;5.1.68;-;MBNR.4.PER.244
Ludwig;Keidnor;3,6,66;-;Nachruf;-;-;-;MBNR.4.PER.245
Lisa;Meitner;Feıul  Preis  14,10,66;-;-;-;-;-;MBNR.4.PER.246
Carl;Melchior;ECL);-;-;-;17.3.67;-;MBNR.4.PER.247
Moses;Hendelsschn;Bibliogr,.  H!);-;-;-;8.9.67;-;MBNR.4.PER.248
Franz;Meyer;70  22,12,67(Tuchler);-;-;-;-;-;MBNR.4.PER.249
Meler(Schn;Nichael;v,Mendele  K.Sfarin)  15.12,67;-;-;-;-;-;MBNR.4.PER.250
Josef;Hilbauer;Erinnerungen  1,3.68;-;-;-;-;-;MBNR.4.PER.251
Fritz;Millner;Gedichte  1.9,67(K:);-;-;-;-;-;MBNR.4.PER.252
Alfred;Moubert;25,  Todestag;-;-;-;14.4.0607;-;MBNR.4.PER.253
Siegfried;Moses;80  (HT,AW,  Nebenzahl);-;-;-;5.5.67;-;MBNR.4.PER.254
Erich;Hihsan;;-;-;-;5.4.68;-;MBNR.4.PER.255
;Hüller;Theodor  9,12,66;-;Nachruf;-;-;-;MBNR.4.PER.256
Anitta;Müller-Cohen;Hein;-;-;-;1.4.66;-;MBNR.4.PER.257
Paul;Huni;Todeanachricht  8,9,67;-;-;-;-;-;MBNR.4.PER.258
Leo;Hünz;1,.Todestag  29,4  .E6(Kr);-;-;-;-;-;MBNR.4.PER.259
Pereg;Naphtali;F,  Lehrstuhl  N,;-;-;-;3.11.67;-;MBNR.4.PER.260
Abis;Nathan;Luft);-;-;-;1.4.66;-;MBNR.4.PER.261
Gerda;Nathan;schloschim;-;-;-;6.1.67;-;MBNR.4.PER.262
Curt;Nawratzid;80  10,6.66;-;-;-;-;-;MBNR.4.PER.263
Eugen;Neter;;-;Nachruf;-;4.11.66;-;MBNR.4.PER.264
Sigbert;Neufeld;75  Braun);-;-;-;24.6.66;-;MBNR.4.PER.265
Robert;Neumann;N.u,lsracl;-;-;-;23.3.68;-;MBNR.4.PER.266
Erich;Ney;79  12,8,66;-;-;-;-;-;MBNR.4.PER.267
Harold;Nicolson;Tagebuch;-;-;-;70.6.67/29,.12,67;-;MBNR.4.PER.268
Alfred;Nobel;9,.12,66  (Braun);-;-;-;-;-;MBNR.4.PER.269
schmuel;Nossbaum;4.10,6';-;Nachruf;-;-;-;MBNR.4.PER.270
Jakob;Nussbaum;Gedenkausstellg;-;-;-;24.11.67;-;MBNR.4.PER.271
;Öppenheimer;franz  lrinnerungen  4,10,67;-;-;-;-;-;MBNR.4.PER.272
Israsl;Osterer;70;-;-;-;3.5.58;-;MBNR.4.PER.273
Karl;Otten;18,3,66  (HT);-;-;-;-;-;MBNR.4.PER.274
Erwin;Panofsky;Todesnachricht  29,3.58;-;-;-;-;-;MBNR.4.PER.275
;Pauls;(Botschafter)Rolf  Fr,  Asde  3.Mosas);-;-;-;19.8.66;-;MBNR.4.PER.276
Fritz;Peyser;Daniel  15,7,66;-;Nachruf;-;-;-;MBNR.4.PER.277
Erich;Philipp;Todlesnachricht  28,16.66;-;-;-;-;-;MBNR.4.PER.278
Hermann;Philipp;9.9,66  (Liebeschütz);-;-;-;-;-;MBNR.4.PER.279
Fritz;Pick;80  19,5,67;-;-;-;-;-;MBNR.4.PER.280
Erwin;Piscator;15,4,66;-;Nachruf;-;-;-;MBNR.4.PER.281
;Podblelskl;Leo  25,.9.66;-;Todesanzeige;-;-;-;MBNR.4.PER.282
Hubert;Pollack;21,7,67;-;Nachruf;-;-;-;MBNR.4.PER.283
Erich;Powmer;;-;Nachruf;-;27.5.66;-;MBNR.4.PER.284
;Poppert;Samuel  Purimjoot  24.3,67;-;-;-;-;-;MBNR.4.PER.285
Idel;Pressuann;9,12,65;-;Nachruf;-;-;-;MBNR.4.PER.286
Steffi;Preuss;Erinnerung  28,.7,67;-;-;-;-;-;MBNR.4.PER.287
Isaac;Prins;80  3,.3,67(Rczslaar);-;-;-;-;-;MBNR.4.PER.288
Joachim;Prinz;:Päpste  a.d.Chutto  13,1,67(EW);-;-;-;-;-;MBNR.4.PER.289
Bruno;Rabinowitz;21,6,68;-;Nachruf;-;-;-;MBNR.4.PER.290
Walther;Rathenau;loo,Geburtstag;-;-;-;13.10.67;-;MBNR.4.PER.291
David;Reifen;Buch  lb.  Jugeaigserichte  12,4.68;-;-;-;-;-;MBNR.4.PER.292
;Reinhardt;Max  Ausstalg;-;-;-;5.3.56;-;MBNR.4.PER.293
Käthe;Romn;;-;Nachruf;-;10.35.67;-;MBNR.4.PER.294
Pinchas;Rosen;80  24,4,.67(HT,Hula  Coua);-;-;-;-;-;MBNR.4.PER.295
Max;Rosenbaum;M.  80  4,3,66(1’lıllipp);-;-;-;-;-;MBNR.4.PER.296
;Rosenblatt;Jakob  Todesanzelza  28,7.67;-;-;-;-;-;MBNR.4.PER.297
Leo;Rosenblüth;Hachruf  6,5.66(KL);-;-;-;-;-;MBNR.4.PER.298
Manfred;Rosenthal;25,11.66(JT);-;Nachruf;-;-;-;MBNR.4.PER.299
Franz;Rosenzweig;Gedächtnisslifte  9,9.66(1iebeschitz);-;-;-;-;-;MBNR.4.PER.300
Max;Rosenzweiz;Todesangsise;-;-;-;14.4.67;-;MBNR.4.PER.301
Elith;koteustein;Todesanzeize  22,7,67;-;-;-;-;-;MBNR.4.PER.302
Cecil;Koth;&  Ehrengabe  22,9,57;-;-;-;-;-;MBNR.4.PER.303
;Roth;"Joseph  *Der  stunme  Prophet""  20,5,.66(HT)";-;-;-;-;-;MBNR.4.PER.304
Alfred;Rubene;Buch  tib.  jüd.Trashtan  25,5,67(i01);-;-;-;-;-;MBNR.4.PER.305
