first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
tialter;Moses;(Berger);-;-;-;17.4.59;-;MBNR.2.PER.113
Leo;Motzkin;Jiid.Rundschau:  lo.  11.55  /;-;-;-;17.11.55;-;MBNR.2.PER.114
Paul;Mühsam;Rezens.22.6.51(AMeyer);-;-;-;-;-;MBNR.2.PER.115
Kurt;Muenzer;20.lo«44(Frango);-;Nachruf;-;-;-;MBNR.2.PER.116
Jakob;Nacht;HT);Rabb.;Nachruf;-;18.9.59;-;MBNR.2.PER.117
Paul;Nathan;N.u.Technikum(Brief);-;-;-;17.2.50;-;MBNR.2.PER.118
Oakar;Neumann;;-;-;-;29.5.46;-;MBNR.2.PER.119
Erich;Ney;50;-;-;-;16.8.46;-;MBNR.2.PER.120
Friedr.;Nietzsche;loo.Geburtstag  15.lo.44;-;-;-;-;-;MBNR.2.PER.121
Israel;Nobel;70  Gronemann);-;-;-;17.7.48;-;MBNR.2.PER.122
Paula;Ollendorff;loo.Geburtstag  2o.5.60(EGL);-;-;-;-;-;MBNR.2.PER.123
Franz;Oppenheimer;Jüd,Rundschau:;-;-;-;17.7.54;-;MBNR.2.PER.124
Alfons;Paquet;EKahn);-;Nachruf;-;15.9.44;-;MBNR.2.PER.125
Felix;Perles;Jüd.Rundschau:16.3.54;-;-;-;-;-;MBNR.2.PER.126
David;Pinkas;Zwi  ht);-;Nachruf;-;22.8.52;-;MBNR.2.PER.127
Max;Pinkus;;-;-;-;5.9.58;-;MBNR.2.PER.128
Leopold;Plaschkes;15.Todestag;-;-;-;24.5.57;-;MBNR.2.PER.129
Adolf;Pollak;70;-;-;-;28.1.49;-;MBNR.2.PER.130
Josef;Prager;60  (Simon,Schachtel);-;-;-;8.6.45;-;MBNR.2.PER.131
Leonhard;Ragaz;Wilhelm);-;Nachruf;-;25.1.46;-;MBNR.2.PER.132
Manfred;Reifer;Rezens.;-;-;-;26.4.46;-;MBNR.2.PER.133
Max;Reinhardt;Freeden);-;-;-;8.2.46;-;MBNR.2.PER.134
