first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
OÖskar;Baum;üachruf;-;-;-;21.3.41;-;MBNR.1.PER.66
;Baum;Vicky  llachmuf;-;-;-;9.9.60;-;MBNR.1.PER.67
Julius;Becker;"(""Die  Welt"")";-;Nachruf;-;29.6.45;-;MBNR.1.PER.68
Richard;Beer-Hofnann;;-;Nachruf;-;5.10.45;-;MBNR.1.PER.69
Arthur;Beermann;50;-;-;-;24.7.42;-;MBNR.1.PER.70
Perez;Beharav(Brav);lHachruf;-;-;-;16.7.48;-;MBNR.1.PER.71
loshe;Beilinson;Nov.36  llachruf(Brachmann);-;-;-;-;-;MBNR.1.PER.72
Alexzander;Bein;50  (Herlitz);Dr.;-;-;30.1.53;-;MBNR.1.PER.73
Alfred;Bein;;-;Nachruf;-;28.11.58;-;MBNR.1.PER.74
ärtur;Bein;und  Anna  Tod;-;-;-;21.3.41;-;MBNR.1.PER.75
Moritz;Bein;Moshe  Tod;-;-;-;6.8.45;-;MBNR.1.PER.76
;Belkind;Israel  25.Todestag;-;-;-;9.7.54;-;MBNR.1.PER.77
Ralph;Benatzky;(Komponist)  To;-;-;-;2.7.54;-;MBNR.1.PER.78
Jizchak;Ben-Dor;"(Davar"")  Nachruf(Tauber)";-;-;-;25.6.48;-;MBNR.1.PER.79
David;Ben-Gurion;T70;-;-;-;5.10.56;-;MBNR.1.PER.80
Natan;Ben-Natan;;Dr.;Nachruf;-;17.2.61;-;MBNR.1.PER.81
Norman;Bentwich;To  (H.T.);Prof.;-;-;27.2.5353;-;MBNR.1.PER.82
Jizchak;Ben-Zwi;70;-;-;-;20.12.54;-;MBNR.1.PER.83
Charlotte;Berend-Corinth;80;-;-;-;24.6.40;-;MBNR.1.PER.84
Walter;Berendsohn;A.  33/1951  Vortrag  in  Natania;Prof.;-;-;-;-;MBNR.1.PER.85
Bernard;Berenson;Prof  Bernard;Prof.;-;-;-;-;MBNR.1.PER.86
