first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
Nachum;Goldınann;(KJV)in  memfiam  2.90.Geburtstag(Tobias)VII/8;Dr.;-;-;-;-;MBNR.12.PER.59
Armin;Gottlieb;"u.Lea(Inhaber""Gotex"")  II/90  S.3";-;-;-;-;-;MBNR.12.PER.60
Peter'Salzburger;Gradenwitz;Festspiele  X1/85  8.5  Days;Prof.;-;-;-;-;MBNR.12.PER.61
David;Grossman;;-;-;-;-;-;MBNR.12.PER.62
Dr.Max;Gruenewald;,;Rabb.;-;-;-;-;MBNR.12.PER.63
Margot(Inhaberin;Hamburger;"""Hamishmar""-Versicherg)  1/89,8.4";-;-;-;-;-;MBNR.12.PER.64
;Hecht;Dr.Reuben  (KJV);-;-;-;-;-;MBNR.12.PER.65
Martin;Nennig;Dr.Martin(KJV  Ruder-Pionier)Gedenktafel;Dr.;-;-;-;-;MBNR.12.PER.66
Georg;Herlitz;J.  (KJV)Strasse  in  Jerusnlem  nach  ihm;Dr.;-;-;-;-;MBNR.12.PER.67
Klaus;Hermann;IV/87  8.2;-;Todesanzeige;-;-;-;MBNR.12.PER.68
Theodor;Herzl;"""Judenstaat""(M.Faerber)  II/86,8.3";Dr.;-;-;-;-;MBNR.12.PER.69
b.;Hildesheimer;Halberstadt  nach  56  Jahren.  1/90,8:3;Dr.;-;-;-;-;MBNR.12.PER.70
Wr.Siegfried;Hirsch;Goldstein)  IX/87,3.13;-;-;-;-;-;MBNR.12.PER.71
Gustav;Horn;(Hasorea)Todesanzeige  VII/89,8.6;-;-;-;-;-;MBNR.12.PER.72
;Horn;"Immanuel(Inhaber  ""Etun"")  VII/88,3.4";-;-;-;-;-;MBNR.12.PER.73
Naphtali;Imber;80.Todestag(Freeden)  VII/89,8.2;-;-;-;-;-;MBNR.12.PER.74
Eduard;Isaak;VI/87,3.3;Dr.;Nachruf;-;-;-;MBNR.12.PER.75
liermann;Jacobi;J.  III/88,3.11  dor);-;Nachruf;-;-;-;MBNR.12.PER.76
Uri;Jadin(Heinsheimer);Todesnachricht  1/86,9.6;-;-;-;-;-;MBNR.12.PER.77
Immanuel;Jakobowits;(Tobias)  IX/85,;Dr.;-;-;-;-;MBNR.12.PER.78
A.B.;Jehoshua;"""Molcho""  Rez.  (Tobias)  IX/87,5S.11";-;-;-;-;-;MBNR.12.PER.79
Anat;xJütte;"Rez.Nathan  Shacham""Four  in  0ne  Bar""  11/88,3.4";Dr.;-;-;-;-;MBNR.12.PER.80
Mascha;Kaleko;Rez.Buch  (Tobias)  III1/88,3.8;-;-;-;-;-;MBNR.12.PER.81
Lotte;Kal.iski;"(güd.Waldschule  ""Kaliski""Berlin  XX  III/90,8.15";-;-;-;-;-;MBNR.12.PER.82
Gideon;Kaminka;Nachlass  XI/85  8.3  £.;Dr.;-;-;-;-;MBNR.12.PER.83
Kurt;Kanowitz;;Dr.;-;-;-;-;MBNR.12.PER.84
Herbert;Karliner;Zvi  XII/85;-;Todesanzeige;-;-;-;MBNR.12.PER.85
;Katz;P’rof.Jacob;-;-;-;-;-;MBNR.12.PER.86
Ernst;Katzenstein;;Dr.;-;-;-;-;MBNR.12.PER.87
Alfred;Kerr;40.Todestag(Freeden)  1/89  S.2;-;-;-;-;-;MBNR.12.PER.88
C.Z.;kKlötzel;Rez.Hamburger  Gedenkschrift  IX/89  3.13;-;-;-;-;-;MBNR.12.PER.89
shlomo;Krolik;;Dr.;-;-;-;-;MBNR.12.PER.90
;Lassalle;Ferd$änd  125.Todestag(Matsdorf)  VIII/89,S.6;-;-;-;-;-;MBNR.12.PER.91
krich;Lehmann;M.  IX/86,S.19;-;Nachruf;-;-;-;MBNR.12.PER.92
Frof.Jshajahu;Leibowitz;Interview  V/88,9.3;-;-;-;-;-;MBNR.12.PER.93
Fred;Lessing;Wachruf(Lowenthal)  VII/90,5.6;-;-;-;-;-;MBNR.12.PER.94
krich;Levin;XII/86,9.4;-;Nachruf;-;-;-;MBNR.12.PER.95
Kurt;Licht;Nachruf(Gapell)  V/86,8.2;Dr.;-;-;-;-;MBNR.12.PER.96
;Liebermann;Prof.Max  Zum  140.Geburtstag  VII/87,3.6;-;-;-;-;-;MBNR.12.PER.97
Ivan;Lilienfeld;"1973/88  Redakteur  ""MB""  V/88,8.3.  (whrzı  Mae  -";Dr.;-;-;-;-;MBNR.12.PER.98
br.Moshe;Liwni(Weiss);XII/88,8.6  en  trößhe);-;Nachruf;-;-;-;MBNR.12.PER.99
Günter;Löwenstein;75  (Freeden)  XII/88,5.6;-;-;-;-;-;MBNR.12.PER.100
i.G.;Lowenthal;;Prof.;-;-;-;-;MBNR.12.PER.101
Gerda;luft;;-;-;-;-;-;MBNR.12.PER.102
Erich;Lüth;;-;-;-;-;-;MBNR.12.PER.103
Abraham;Margalioth;Nachruf(M.P.Birnbaun)  vI1l1l/87,3.6;Prof.;-;-;-;-;MBNR.12.PER.104
Wolfgang;Matsdorf;XII/89,5.5;Dr.;Nachruf;-;-;-;MBNR.12.PER.105
Kurt;May;90  (E.Katzenstein)  IX/  86,8.12;-;-;-;-;-;MBNR.12.PER.106
Zubin;Mehta;Interview  VI/87,8.11;-;-;-;-;-;MBNR.12.PER.107
;Moses;Dr.Siegfried(KJV);-;-;-;-;-;MBNR.12.PER.108
George;Mosse;L.  Gosthe-Medaille  VI/88B,4.2;Prof.;-;-;-;-;MBNR.12.PER.109
Paul;Mühsam;Memoiren  Rez.(Ben-Chorin)  I1/90,8.6;Dr.;-;-;-;-;MBNR.12.PER.110
l'ritz;Yaphtali;Perez  100.Geburtstag  VI/88,8.3;-;-;-;-;-;MBNR.12.PER.111
Fritz;Naschitz;Notiz  üb.Publ.seiner  re  11/89,9.7;-;-;-;-;-;MBNR.12.PER.112
;Nathan;Thea  80(G.Lüöwenstein)  I11/88,5.10;-;-;-;-;-;MBNR.12.PER.113
Moshe;Oppenheimer;(Harzipanfabrikant)  VII/90,3.2;-;-;-;-;-;MBNR.12.PER.114
Amos;Os;"""Black  Box""  Rez.  (Ben-Chorin)XI1/89,3.8  f.";-;-;-;-;-;MBNR.12.PER.115
;File;Rebh.Dr.  TonstintkgV)  X1/88,5.7;-;Nachruf;-;-;-;MBNR.12.PER.116
Jizchak;Raveh;Gedenkfeier  1/90,8.7;Dr.;-;-;-;-;MBNR.12.PER.117
iiva;Reichmann;90  (Tramer  in  MB;-;-;-;15.1.72)1/87,9.4;-;MBNR.12.PER.118
Kurt;Riese;"(Inhaber  ""oniyah"")  VI/  88,9.6";-;-;-;-;-;MBNR.12.PER.119
3.8;v11/90;;-;-;-;-;-;MBNR.12.PER.120
Joseph;Kosenstock;Todesnntiz  VII/86,5.5;-;-;-;-;-;MBNR.12.PER.121
Werner;Rosenstock;80(Lowenthal)  V/88,9.6;Dr.;-;-;-;-;MBNR.12.PER.122
J.Y.;Rosenthal;"Wer  0d.was  ist  ""Judn""2III/90,9.8  f.";-;-;-;-;-;MBNR.12.PER.123
Fr.S.;Rothschild;90  (Lowenthal)  X1/89,8.5;Prof.;-;-;-;-;MBNR.12.PER.124
Arthur;Ruppin;Dr  Arthur;Dr.;-;-;-;-;MBNR.12.PER.125
Regina;Schechter;lachruf(Noi)  I1/88,8.5;-;-;-;-;-;MBNR.12.PER.126
Hans;Schelas;(KJV)  80  (H.GBerling)  1/88  ‚S.7;-;-;-;-;-;MBNR.12.PER.127
Wr.Walter;Schwarz;X/88,5.9;-;Todesanzeige;-;-;-;MBNR.12.PER.128
llans;Beidenberg;I1/90,8.7;-;Todesanzeige;-;-;-;MBNR.12.PER.129
;Jeligsohn;Dr.Julius  zum  Loo.  Geburtstag(gest.1942)  (Lowenthal);-;-;-;-;-;MBNR.12.PER.130
3eev;Shiftan;‚(Assistent  v.Prof.Picard,s.0.)liachruf  (Alsberg);-;-;-;-;-;MBNR.12.PER.131
